Generic Name,Brand Name
Abiraterone Acetate,Yonsa
Ziv-Aflibercept,Zaltrap
Filgrastim,Zarxio
Niraparib Tosylate Monohydrate,Zejula
Vemurafenib,Zelboraf
Lurbinectedin,Zepzelca
Ibritumomab Tiuxetan,Zevalin
Pegfilgrastim,Ziextenzo
Zanidatamab-hrii,Ziihera
Dexrazoxane Hydrochloride,Zinecard
Bevcizumab,Zirabev
Ondansetron Hydrochloride,Zofran
Goserelin Acetate,Zoladex
Vorinostat,Zolinza
Zoledronic Acid,Zometa
Imiquimod,Zyclara
Idelalisib,Zydelig
Ceritinib,Zykadia
Loncastuximab Tesirine-lpyl,Zynlonta
Retifanlimab-dlwr,Zynyz
Abiraterone Acetate,Zytiga
