PEB,"cisplatin, etoposide, bleomycin",non-seminomatous germ cell tumors
PEI,"cisplatin, etoposide, ifosfamide",small-cell lung carcinoma
platin + taxane[5],"cisplatin/carboplatin, paclitaxel/docetaxel",ovarian cancer
POMP,"6-mercaptopurine (Purinethol), vincristine (Oncovin), methotrexate, and prednisone",acute adult leukemia[6]
ProMACE-MOPP,"methotrexate, doxorubicin (Adriamycin), cyclophosphamide, etoposide + MOPP",non-Hodgkin lymphoma
ProMACE-CytaBOM,"prednisone, doxorubicin (Adriamycin), cyclophosphamide, etoposide, cytarabine, bleomycin, vincristine (Oncovin), methotrexate, leucovorin",non-Hodgkin lymphoma
RdC,"lenalidomide (Revlimid), dexamethasone, cyclophosphamide",AL amyloidosis
R-Benda,rituximab + bendamustine,follicular lymphoma and MALT lymphoma[7]
R-DHAP or DHAP-R,"rituximab + DHAP; that is, rituximab, dexamethasone (a steroid hormone), cytarabine (ara-C), platinum agent",relapsed non-Hodgkin's lymphoma and Hodgkin's lymphoma
R-FCM or FCM-R,"rituximab + FCM; that is, rituximab, fludarabine, cyclophosphamide, mitoxantrone",B cell non-Hodgkin lymphoma
R-ICE or ICE-R or RICE,"rituximab + ICE; that is, rituximab, ifosfamide, carboplatin, etoposide",high-risk progressive or recurrent lymphomas
RVD,"lenalidomide (Revlimid), bortezomib, dexamethasone",
Stanford V,"doxorubicin (Adriamycin), mechlorethamine, bleomycin, vinblastine, vincristine, etoposide, prednisone",Hodgkin lymphoma
TAC or ACT,"docetaxel (Taxotere) or paclitaxel (Taxol), doxorubicin (Adriamycin), cyclophosphamide","breast cancer (""TAC"" can also refer to tetracaine-adrenaline-cocaine, used as local anesthetic)"
TAD,"tioguanine, cytarabine (ara-C), daunorubicin",acute myeloid leukemia
TC or CT,"docetaxel (Taxotere), cyclophosphamide",breast cancer
TCH,"docetaxel (Taxotere), carboplatin, trastuzumab (Herceptin)",breast cancer with positive HER2/neu receptor
TCHP,"docetaxel (Taxotere), carboplatin, trastuzumab (Herceptin), pertuzumab (Perjeta)",breast cancer with positive HER2/neu receptor
Thal/Dex,"thalidomide, dexamethasone",multiple myeloma
TIP,"paclitaxel (Taxol), ifosfamide, platinum agent cisplatin (Platinol)","testicular cancer, germ cell tumors in salvage therapy"
EE-4A,"vincristine, actinomycin[8]",Wilms' tumor[8]
DD-4A,"vincristine, actinomycin, doxorubicin (Adriamycin)[8]",Wilms' tumor[8]
VABCD,"vinblastine, doxorubicin (Adriamycin), bleomycin, lomustine (CeeNU), dacarbazine",MOPP refractory Hodgkin's Lymphoma
VAC,"vincristine, actinomycin, cyclophosphamide",rhabdomyosarcoma
VAD,"vincristine, doxorubicin (Adriamycin), dexamethasone",multiple myeloma
VAMP,one of 3 combinations of vincristine and others,"Hodgkin's lymphoma, leukemia, multiple myeloma"
Regimen I,"vincristine, doxorubicin (Adriamycin), etoposide, cyclophosphamide",Wilms' tumor[8]
VAPEC-B,"vincristine, doxorubicin (Adriamycin), prednisone, etoposide, cyclophosphamide, bleomycin",Hodgkin's lymphoma
VDC-IE,"vincristine, doxorubicin, cyclophosphamide, ifosfamide, etoposide",Ewing's sarcoma
VD-PACE,"bortezomib, dexamethasone plus platinum agent, doxorubicin (Adriamycin), cyclophosphamide, etoposide",multiple myeloma
VIFUP,"vinorelbine, cisplatin, fluorouracil",locally advanced/metastatic breast cancer
VIP,"vinblastine, ifosfamide, platinum agent, (etoposide (VP-16) may substitute for vinblastine, making a regimen sometimes referred to as VIP-16)[9][10]","testicular cancer, germ cell tumors"
VTD-PACE,"bortezomib (Velcade), thalidomide, dexamethasone plus platinum agent, doxorubicin (Adriamycin), cyclophosphamide, etoposide",multiple myeloma
V-DCEP,"bortezomib (Velcade), dexamethasone, cyclophosphamide, etoposide, platinum agent",relapsed or refractory multiple myeloma
